,r_state,r_city,Cheap,Average,Expensive,Exclusive,All_rest,% of total,cummulative %,Population,Latitude,Longitude,rest vs pop %
25,AL,BIRMINGHAM,146,70,15,0,231,0.6311992786293958,39.19993442085416,197575,33.5623653,-86.8307025,0.11691762621789195
26,VA,NORFOLK,169,52,3,0,224,0.6120720277618383,39.812006448616,235089,36.87939,-76.19439,0.09528306301017912
27,VA,MANASSAS PARK,161,56,3,1,221,0.6038746345328851,40.41588108314889,17002,38.7994987,-77.4477236,1.2998470768144925
28,VA,FREDERICKSBURG,146,67,5,0,218,0.5956772413039321,41.01155832445282,28367,38.29918,-77.48362,0.7684986075369267
29,WA,LYNNWOOD,134,71,5,2,212,0.5792824548460257,41.590840779298844,40592,47.840287,-122.2969717,0.5222703981080016
30,VA,WOODBRIDGE,148,57,5,0,210,0.5738175260267234,42.16465830532557,42517,38.65482,-77.30916,0.4939200790272127
31,MD,BETHESDA,120,57,14,1,192,0.5246331666530044,42.68929147197857,65092,38.987641,-77.0994969,0.2949671234560315
32,WA,REDMOND,110,49,27,1,187,0.510970844604749,43.20026231658332,76354,47.672398,-122.119571,0.24491185792492862
33,MD,ROCKVILLE,123,56,8,0,187,0.510970844604749,43.71123316118807,67139,39.0579691,-77.1134373,0.2785266387643546
34,WA,RENTON,111,59,12,0,182,0.4973085225564937,44.20854168374456,105179,47.4812825,-122.2175033,0.17303834415615285
35,VA,FALLS CHURCH,125,47,7,0,179,0.4891111293275405,44.697652813072104,14493,38.8361221,-77.1564978,1.235079003656938
36,VA,CHESAPEAKE,131,40,2,0,173,0.4727163428696341,45.170369155941735,251269,36.77947,-76.22727,0.06885051478694149
37,WA,PUYALLUP,113,52,5,0,170,0.4645189496406809,45.63488810558242,42794,47.15576,-122.35867,0.39725195120811324
38,WI,GREEN BAY,99,61,2,0,162,0.4426592343634724,46.077547339945895,107015,44.5252094,-88.0872698,0.15138064757277017
39,AL,HUNTSVILLE,102,52,6,0,160,0.43719430554417027,46.51474164549006,216963,34.7344853,-86.6242482,0.07374529297622175
40,WA,FEDERAL WAY,102,45,10,2,159,0.4344618411345192,46.94920348662458,99037,47.2868536,-122.3140804,0.16054605854377657
41,VA,ROANOKE,113,43,2,0,158,0.4317293767248682,47.38093286334945,98865,37.2298165,-80.005882,0.15981388762453852
42,VA,HERNDON,103,45,7,0,155,0.423531983495915,47.80446484684536,24339,38.9574536,-77.4005248,0.6368379966309216
43,VA,STERLING,108,34,12,0,154,0.4207995190862639,48.22526436593163,30872,39.03278,-77.42322,0.4988338947913967
44,WA,BELLINGHAM,111,29,10,1,151,0.4126021258573107,48.63786649178894,92289,48.7901262,-122.494586,0.16361646566763102
45,MD,GAITHERSBURG,93,48,6,0,147,0.4016722682187064,49.039538760007645,69101,39.11463,-77.2051,0.2127320878134904
46,WA,KIRKLAND,85,53,9,0,147,0.4016722682187064,49.44121102822635,92107,47.73089,-122.17506,0.15959699045675138
47,WV,MORGANTOWN,74,71,1,0,146,0.3989398038090554,49.840150832035405,29219,39.6483759,-79.9017503,0.4996748690920292
48,VA,SPRINGFIELD,104,37,2,1,144,0.3934748749897532,50.23362570702516,32960,38.7730037,-77.1844142,0.4368932038834952
49,VA,CHANTILLY,105,33,5,0,143,0.39074241058010223,50.624368117605265,23820,38.8951643,-77.4271019,0.600335852225021
50,VA,ASHBURN,97,37,3,1,138,0.3770800885318469,51.00144820613711,44090,39.0223689,-77.4774857,0.31299614425039696
51,TX,TYLER,93,41,2,1,137,0.3743476241221958,51.37579583025931,107192,32.33043,-95.2903,0.12780804537652063
52,TX,ALLEN,88,44,4,0,136,0.3716151597125448,51.747410989971854,106874,33.0864047,-96.6837797,0.12725265265639912
53,VA,CHARLOTTESVILLE,100,28,3,1,132,0.36068530207394045,52.10809629204579,45672,38.0437915,-78.5051129,0.2890173410404624
54,VA,MIDLOTHIAN,94,32,3,0,129,0.3524879088449873,52.46058420089078,69285,37.49886,-77.53438,0.18618748646893268
55,VA,NEWPORT NEWS,89,37,3,0,129,0.3524879088449873,52.813072109735764,184587,37.07145,-76.49264,0.06988574493328349
56,UT,WEST VALLEY CITY,91,33,3,0,127,0.34702298002568516,53.16009508976145,139110,40.6968663,-111.9426473,0.09129465890302638
57,UT,PROVO,78,44,3,0,125,0.34155805120638305,53.50165314096783,114084,40.2141121,-111.6596532,0.10956838820518214
58,WA,LAKEWOOD,86,31,8,0,125,0.34155805120638305,53.843211192174216,63331,47.1616,-122.50482,0.1973756927886817
59,TX,WICHITA FALLS,71,49,2,1,123,0.33609312238708094,54.1793043145613,102988,33.8844793,-98.5287119,0.11943139006486193
60,UT,OREM,92,28,1,0,121,0.3306281935677788,54.509932508129076,97861,40.3115399,-111.696962,0.12364476144735902
61,VA,VIENNA,78,37,3,0,118,0.3224308003388256,54.832363308467905,16329,38.920223565536936,-77.23229287496281,0.7226407005940352
62,WA,OLYMPIA,80,28,9,0,117,0.3196983359291745,55.15206164439708,55919,47.05488,-122.77326,0.20923120942792253
63,WA,TUKWILA,74,33,9,0,116,0.3169658715195235,55.4690275159166,21615,47.45128,-122.25652,0.5366643534582466
64,WI,APPLETON,84,31,1,0,116,0.3169658715195235,55.78599338743612,74854,44.2614714,-88.4094237,0.15496833836535123
65,WA,KENNEWICK,82,25,8,0,115,0.31423340710987235,56.100226794545996,84488,46.21243,-119.16443,0.13611400435564813
66,VA,HAMPTON,79,34,1,1,115,0.31423340710987235,56.41446020165587,137746,37.04226,-76.3908,0.08348699780755885
67,WA,BOTHELL,73,34,6,1,114,0.31150094270022133,56.72596114435609,47784,47.7687,-122.18614,0.23857358111501756
68,VA,WINCHESTER,88,23,2,0,113,0.3087684782905703,57.03472962264666,28136,39.1737583,-78.1648453,0.40162069945976686
69,UT,SANDY,78,34,0,0,112,0.30603601388091917,57.34076563652758,95050,40.5816389,-111.8884987,0.11783271962125198
70,TX,CONROE,72,33,6,0,111,0.30330354947126814,57.644069185998845,94400,30.22588,-95.54264,0.11758474576271186
71,VA,LEESBURG,72,34,2,0,108,0.29510615624231495,57.93917534224116,48908,39.09068,-77.52566,0.22082276928109923
72,TX,SOUTHLAKE,63,41,2,1,107,0.2923736918326639,58.23154903407382,31105,32.94505,-97.12952,0.34399614209934093
73,VA,RESTON,76,23,6,1,106,0.28964122742301285,58.521190261496834,61418,38.96885,-77.34069,0.17258784069816666
74,TX,MCKINNEY,70,35,1,0,106,0.28964122742301285,58.810831488919845,202690,33.20032,-96.63809,0.05229661058759682
75,UT,OGDEN,76,27,1,0,104,0.2841762986037107,59.095007787523556,86798,41.27361,-111.96954,0.11981842899605982
76,WA,YAKIMA,83,20,1,0,104,0.2841762986037107,59.37918408612727,96578,46.5849622,-120.5126699,0.10768498001615275
77,WV,CHARLESTON,54,46,2,0,102,0.2787113697844085,59.65789545591168,48018,38.35398,-81.64312,0.21242034237161064
78,WI,BROOKFIELD,70,26,3,1,100,0.2732464409651064,59.93114189687678,41464,43.0341625,-88.16397,0.24117306579201234
79,WA,AUBURN,68,28,3,1,100,0.2732464409651064,60.204388337841884,85699,47.3183064,-122.2210107,0.11668747593320809
80,WI,KENOSHA,64,33,0,0,97,0.26504904773615323,60.46943738557804,99286,42.566554,-87.855667,0.09769756058255948
81,WA,LACEY,75,19,1,0,95,0.25958411891685107,60.72902150449489,54461,47.03853,-122.82371,0.17443675290574906
82,VA,ANNANDALE,57,32,6,0,95,0.25958411891685107,60.988605623411736,42240,38.83297,-77.18884,0.22490530303030304
83,VA,MCLEAN,72,20,2,1,95,0.25958411891685107,61.248189742328584,48566,38.9370214,-77.1841588,0.19561009759914344
84,WA,MARYSVILLE,70,23,0,1,94,0.25685165450720004,61.505041396835786,71144,48.0752996,-122.1813742,0.13212639154391093
85,UT,LAYTON,64,29,1,0,94,0.25685165450720004,61.76189305134299,83291,41.07394,-111.97936,0.1128573315244144
86,VA,LYNCHBURG,75,17,1,0,93,0.25411919009754896,62.016012241440535,79009,37.3464495,-79.1863917,0.11770810920274906
87,TX,SAN MARCOS,65,27,0,0,92,0.2513867256878979,62.267398967128436,68580,29.8548285,-97.9543536,0.13414989792942547
88,WA,ISSAQUAH,59,24,8,1,92,0.2513867256878979,62.51878569281634,39505,47.5657945,-122.0057293,0.23288191368181244
89,AL,DOTHAN,60,28,1,0,89,0.24318933245894475,62.761975025275284,71175,31.2543801,-85.4244331,0.12504390586582367
90,UT,WEST JORDAN,68,19,1,0,88,0.24045686804929364,63.00243189332458,116541,40.61952,-111.98074,0.07550990638487742
91,UT,MIDVALE,52,33,1,0,86,0.23499193922999154,63.23742383255457,35938,40.606607,-111.891022,0.23930101842061327
92,UT,SOUTH JORDAN,66,19,1,0,86,0.23499193922999154,63.47241577178456,80139,40.543606,-111.98052,0.10731354271952481
93,TX,LONGVIEW,60,25,1,0,86,0.23499193922999154,63.707407711014554,81762,32.50627,-94.78794,0.1051833370025195
94,TX,GRAPEVINE,55,27,2,1,85,0.23225947482034046,63.93966718583489,50872,32.92325,-97.08985,0.16708601981443624
95,VA,WILLIAMSBURG,65,20,0,0,85,0.23225947482034046,64.17192666065523,15590,37.2578072,-76.7393,0.5452212957023733
96,WA,RICHLAND,57,23,5,0,85,0.23225947482034046,64.40418613547557,61929,46.25635,-119.30786,0.13725395210644448
97,WA,BURIEN,61,20,2,2,85,0.23225947482034046,64.63644561029591,51073,47.461295,-122.332708,0.16642844555831848
98,WV,HUNTINGTON,44,37,2,0,83,0.22679454600103835,64.86324015629695,46025,38.4102205,-82.3252518,0.18033677349266702
99,VA,HARRISONBURG,65,17,0,0,82,0.22406208159138724,65.08730223788834,51430,38.48033,-78.8183335,0.15944001555512347
100,UT,ST GEORGE,65,13,2,2,82,0.22406208159138724,65.31136431947972,99958,37.113525,-113.553527,0.08203445447087777
101,WA,SPOKANE VALLEY,58,21,1,0,80,0.21859715277208513,65.52996147225181,105905,47.66451,-117.2823137,0.0755393985175393
102,WI,WAUKESHA,51,27,1,1,80,0.21859715277208513,65.7485586250239,71256,42.988794,-88.256361,0.11227124733355787
103,TX,NORTH RICHLAND HILLS,58,20,1,0,79,0.2158646883624341,65.96442331338633,70209,32.8335495,-97.2046893,0.11252118674244044
104,WI,RACINE,42,37,0,0,79,0.2158646883624341,66.18028800174876,77127,42.736991,-87.784546,0.1024284621468487
105,AL,HOOVER,54,24,1,0,79,0.2158646883624341,66.3961526901112,92589,33.4044388,-86.8066142,0.08532331054444912
106,TX,HURST,56,19,1,0,76,0.2076672951334809,66.60381998524467,40055,32.8231142,-97.1978311,0.18973910872550243
107,UT,LEHI,62,14,0,0,76,0.2076672951334809,66.81148728037815,79978,40.432529,-111.8944946,0.09502613218635125
108,WA,BREMERTON,53,17,5,1,76,0.2076672951334809,67.01915457551162,44122,47.595398,-122.6282522,0.17224967136575858
109,WA,EDMONDS,51,15,6,1,73,0.1994699019045277,67.21862447741614,42758,47.78964,-122.33937,0.170728284765424
110,VA,CENTREVILLE,52,12,9,0,73,0.1994699019045277,67.41809437932066,74230,38.8380791,-77.4381835,0.09834298801023846
111,VA,GLEN ALLEN,52,19,1,0,72,0.1967374374948766,67.61483181681554,14842,37.6573754,-77.5262152,0.4851098234739253
112,WI,WAUWATOSA,48,23,1,0,72,0.1967374374948766,67.81156925431041,47752,43.06441,-88.04466,0.15077902496230525
113,VA,PORTSMOUTH,57,13,1,0,71,0.19400497308522555,68.00557422739564,97840,36.8176815,-76.3681799,0.07256745707277187
114,VA,GAINESVILLE,43,25,3,0,71,0.19400497308522555,68.19957920048087,16391,38.7936006,-77.6268913,0.43316454151668593
115,TX,KELLER,46,21,4,0,71,0.19400497308522555,68.3935841735661,45397,32.8934997,-97.2742749,0.15639799986783268
116,WY,CHEYENNE,49,22,0,0,71,0.19400497308522555,68.58758914665133,65051,41.0988218,-104.8536988,0.10914513228082583
117,MD,SILVER SPRING,47,22,1,0,70,0.1912725086755745,68.7788616553269,81069,38.99452,-77.0257,0.08634619891697196
118,WY,CASPER,29,41,0,0,70,0.1912725086755745,68.97013416400249,58656,42.8518671,-106.2697765,0.11933987997817785
119,UT,AMERICAN FORK,49,19,2,0,70,0.1912725086755745,69.16140667267807,34422,40.388251,-111.8237722,0.2033583173551798
120,VA,SUFFOLK,52,16,1,0,69,0.18854004426592344,69.34994671694399,96194,36.71389,-76.6685,0.07173004553298543
121,WV,MARTINSBURG,43,26,0,0,69,0.18854004426592344,69.53848676120991,18835,39.47481,-77.95242,0.3663392620122113
122,OR,GRESHAM,46,17,5,0,68,0.1858075798562724,69.72429434106618,113103,45.5014734,-122.4341058,0.06012218950867793
123,WI,WEST ALLIS,48,19,0,0,67,0.1830751154466213,69.90736945651281,59484,42.990497,-88.047426,0.11263533050904445
124,UT,DUBLIN,48,18,1,0,67,0.1830751154466213,70.09044457195944,49328,40.52805,-111.85695,0.13582549464807006
125,WI,EAU CLAIRE,44,22,0,0,66,0.18034265103697023,70.2707872229964,69441,44.780521,-91.4308756,0.0950447142178252
126,VA,HENRICO,38,27,1,0,66,0.18034265103697023,70.45112987403337,333554,37.6391338,-77.5146899,0.019786901071490674
127,WI,JANESVILLE,44,20,1,0,65,0.17761018662731917,70.62874006066069,65942,42.72559,-88.9867,0.0985714718995481
128,UT,MURRAY,48,16,1,0,65,0.17761018662731917,70.80635024728801,49729,40.6671873,-111.8872732,0.1307084397434093
129,VA,BLACKSBURG,48,13,2,1,64,0.17487772221766812,70.98122796950568,44949,37.2334832,-80.4343587,0.14238359029121891
130,WI,OSHKOSH,46,17,1,0,64,0.17487772221766812,71.15610569172335,66607,44.03346,-88.57574,0.09608599696728572
131,TX,ROANOKE,30,31,3,0,64,0.17487772221766812,71.33098341394103,9878,33.00001,-97.22813,0.6479044340959708
132,WI,GREENFIELD,49,14,0,0,63,0.17214525780801707,71.50312867174904,37352,42.95928,-87.98878,0.1686656671664168
133,VA,MECHANICSVILLE,48,15,0,0,63,0.17214525780801707,71.67527392955705,37141,37.603689,-77.374077,0.16962386580867506
134,UT,SPANISH FORK,48,15,0,0,63,0.17214525780801707,71.84741918736506,43870,40.1194,-111.65504,0.14360610895828585
135,WI,SHEBOYGAN,36,26,1,0,63,0.17214525780801707,72.01956444517307,49931,43.75188,-87.74824,0.12617412028599467
136,TX,WYLIE,40,22,0,0,62,0.16941279339836599,72.18897723857144,59394,33.00738,-96.55264,0.10438764858403207
137,TX,IRVING,34,25,2,1,62,0.16941279339836599,72.3583900319698,254198,32.9214602,-96.9959295,0.024390435802012604
138,UT,LOGAN,49,12,1,0,62,0.16941279339836599,72.52780282536817,54436,40.7608,-111.891,0.11389521640091116
139,VA,STAFFORD,48,11,1,0,60,0.16394786457906385,72.69175068994723,4839,38.4824682,-77.3870283,1.2399256044637323
140,TX,WEATHERFORD,38,19,0,0,57,0.15575047135011066,72.84750116129734,33710,32.7331322,-97.7921402,0.16908929101156928
141,WA,SILVERDALE,36,20,1,0,57,0.15575047135011066,73.00325163264746,21858,47.6502,-122.69504,0.2607740872906945
142,TX,EULESS,32,25,0,0,57,0.15575047135011066,73.15900210399758,60500,32.83582,-97.09062,0.09421487603305785
143,MD,GERMANTOWN,34,21,1,0,56,0.15301800694045958,73.31202011093804,89529,39.1698,-77.28198,0.06254956494543668
144,WA,PASCO,44,11,0,0,55,0.15028554253080853,73.46230565346885,78871,46.2784083,-119.2077423,0.06973412280812973
145,VA,COLONIAL HEIGHTS,48,6,0,0,54,0.14755307812115748,73.60985873159001,18273,37.2802038,-77.4126023,0.29551797734362173
146,IL,GURNEE,36,17,0,0,53,0.14482061371150642,73.75467934530151,30521,42.3603561,-87.8988919,0.1736509288686478
147,TX,DESOTO,38,13,0,1,52,0.14208814930185534,73.89676749460337,55729,32.60389,-96.85783,0.09330869026898024
148,UT,SAINT GEORGE,41,10,1,0,52,0.14208814930185534,74.03885564390522,99958,37.12546,-113.52249,0.05202184917665419
149,TX,BEDFORD,40,10,2,0,52,0.14208814930185534,74.18094379320708,49187,32.8511391,-97.1003418,0.10571899079024946
150,VA,DULLES,34,15,2,0,51,0.13935568489220426,74.32029947809929,5362,39.02885,-77.42547,0.9511376352107423
151,WV,BECKLEY,29,22,0,0,51,0.13935568489220426,74.4596551629915,17024,37.7972918,-81.1838249,0.2995770676691729
152,WA,SHORELINE,29,18,3,1,51,0.13935568489220426,74.5990108478837,57918,47.7401183,-122.3451398,0.08805552677923961
153,WA,WOODINVILLE,36,13,2,0,51,0.13935568489220426,74.73836653277591,13425,47.7319,-122.14209,0.3798882681564246
154,WV,PARKERSBURG,29,21,0,0,50,0.1366232204825532,74.87498975325846,29403,39.2548662,-81.5548484,0.17005067510118013
155,VA,CHRISTIANSBURG,36,13,0,0,49,0.13389075607290216,75.00888050933136,22615,37.1640211,-80.4187792,0.21667035153659078
156,WA,BONNEY LAKE,33,15,0,0,48,0.1311582916632511,75.14003880099462,22848,47.166103,-122.14616,0.21008403361344538
157,WI,WAUSAU,30,16,1,0,47,0.12842582725360002,75.26846462824821,39575,44.959191,-89.627882,0.11876184459886291
158,WV,BARBOURSVILLE,15,32,0,0,47,0.12842582725360002,75.3968904555018,4291,38.42087,-82.28879,1.0953157772081101
159,TX,ROWLETT,33,13,0,0,46,0.12569336284394894,75.52258381834575,63671,32.8788483,-96.5179074,0.07224639160685398
160,WI,WISCONSIN,12,33,1,0,46,0.12569336284394894,75.6482771811897,3198,44.38717,-89.81734,1.4383989993746091
161,WI,OAK CREEK,36,8,0,1,45,0.1229608984342979,75.771238079624,36260,42.8840983,-87.91175,0.12410369553226695
162,TX,MURPHY,30,15,0,0,45,0.1229608984342979,75.8941989780583,21219,33.01185,-96.60333,0.21207408454686835
163,TX,MESQUITE,37,7,0,0,44,0.12022843402464682,76.01442741208295,147691,32.81491527949207,-96.60211499780416,0.029791930449384187
164,UT,SOUTH SALT LAKE,26,15,2,0,43,0.11749596961499577,76.13192338169794,26166,40.6994381,-111.8862041,0.16433539708018038
165,VA,CHESTER,24,16,3,0,43,0.11749596961499577,76.24941935131294,22098,37.35173,-77.41489,0.19458774549733007
166,TX,LANCASTER,29,11,3,0,43,0.11749596961499577,76.36691532092793,40728,32.6046861,-96.7687723,0.10557847181300334
167,TX,DENTON,28,14,1,0,43,0.11749596961499577,76.48441129054292,148146,33.1953019,-97.1376091,0.029025420868602596
168,WV,CLARKSBURG,24,18,0,0,42,0.1147635052053447,76.59917479574827,15784,39.2777172,-80.2806836,0.26609224531170805
169,VA,PETERSBURG,36,5,0,0,41,0.11203104079569362,76.71120583654397,33429,37.23846,-77.37293,0.12264800023931317
170,WA,MILL CREEK,24,15,2,0,41,0.11203104079569362,76.82323687733967,20902,47.86199,-122.22014,0.19615347813606354
171,UT,CEDAR CITY,28,12,1,0,41,0.11203104079569362,76.93526791813537,37206,37.66721,-113.06234,0.11019728000860075
172,MN,DULUTH,24,16,0,0,40,0.10929857638604257,77.0445664945214,86372,46.74096,-92.16684,0.046311304589450285
173,WI,LA CROSSE,18,22,0,0,40,0.10929857638604257,77.15386507090744,52185,43.8584145,-91.2406441,0.07665037846124365
174,WA,MONROE,31,6,3,0,40,0.10929857638604257,77.26316364729348,20209,47.8633542,-121.9758529,0.19793161462714634
175,WI,FOND DU LAC,24,15,1,0,40,0.10929857638604257,77.37246222367952,44595,43.7732723,-88.4529871,0.08969615427738536
176,AL,MADISON,30,9,0,0,39,0.1065661119763915,77.47902833565591,58357,34.754989,-86.71483,0.06683002895967921
177,AL,GULF SHORES,18,20,1,0,39,0.1065661119763915,77.5855944476323,15736,30.26593,-87.68987,0.2478393492628368
178,WI,MIDDLETON,23,15,1,0,39,0.1065661119763915,77.6921605596087,22636,43.09579,-89.51305,0.17229192436826296
179,TX,HALTOM CITY,28,9,1,0,38,0.10383364756674045,77.79599420717544,45746,32.7827845,-97.2739726,0.08306737201066759
180,VA,DANVILLE,30,6,0,0,36,0.0983687187474383,77.89436292592288,42215,36.58624,-79.423,0.08527774487741324
181,AL,DECATUR,28,8,0,0,36,0.0983687187474383,77.99273164467031,57804,34.59142,-86.97994,0.062279427029271334
182,AL,FOLEY,26,10,0,0,36,0.0983687187474383,78.09110036341775,22063,30.37914,-87.68391,0.16316910664914108
183,UT,TAYLORSVILLE,33,3,0,0,36,0.0983687187474383,78.18946908216519,59242,40.6498111,-111.938931,0.06076769859221498
184,VT,BURLINGTON,20,14,2,0,36,0.0983687187474383,78.28783780091263,44781,44.480476,-73.21545,0.08039123735512829
185,UT,RIVERTON,30,6,0,0,36,0.0983687187474383,78.38620651966006,45148,40.50747,-111.97842,0.07973775139541066
186,WA,LONGVIEW,26,10,0,0,36,0.0983687187474383,78.4845752384075,37824,46.14135,-122.93513,0.0951776649746193
187,WA,GIG HARBOR,29,6,1,0,36,0.0983687187474383,78.58294395715494,12181,47.3072789,-122.5753156,0.2955422379115015
188,WI,WEST BEND,23,12,0,0,35,0.09563625433778725,78.67858021149273,31727,43.40171,-88.183,0.11031613452264631
189,TN,BRISTOL,24,11,0,0,35,0.09563625433778725,78.77421646583052,27530,36.59062658584104,-82.26116064753421,0.12713403559752998
190,WA,SNOHOMISH,24,6,4,1,35,0.09563625433778725,78.86985272016831,10154,47.8383592,-122.1255719,0.344691747094741
191,WA,MAPLE VALLEY,26,8,1,0,35,0.09563625433778725,78.9654889745061,28153,47.36587,-122.02317,0.1243206763044791
192,TX,COLLEYVILLE,22,10,2,1,35,0.09563625433778725,79.06112522884389,25986,32.8826225,-97.1025728,0.13468790887400908
193,WA,WENATCHEE,28,5,1,0,34,0.0929037899281362,79.15402901877202,35405,47.43332,-120.32433,0.09603163395000706
194,WA,COVINGTON,26,7,1,0,34,0.0929037899281362,79.24693280870015,20787,47.35802,-122.11529,0.16356376581517293
195,AL,ALABASTER,21,12,1,0,34,0.0929037899281362,79.33983659862828,33676,33.259834,-86.796234,0.10096210951419408
196,TX,SAGINAW,14,19,1,0,34,0.0929037899281362,79.43274038855641,24011,32.84566,-97.34367,0.1416017658573154
197,WI,OCONOMOWOC,11,22,1,0,34,0.0929037899281362,79.52564417848454,18379,43.08701,-88.47142,0.18499374285869744
198,UT,BOUNTIFUL,26,7,1,0,34,0.0929037899281362,79.61854796841267,45438,40.8856873,-111.880396,0.07482723711430961
199,WV,BRIDGEPORT,15,19,0,0,34,0.0929037899281362,79.7114517583408,9257,39.33278,-80.23764,0.3672896186669547
200,WI,SUN PRAIRIE,25,8,1,0,34,0.0929037899281362,79.80435554826893,36189,43.16718,-89.26943,0.09395120064107879
201,VA,CULPEPER,22,9,2,0,33,0.09017132551848511,79.89452687378741,20493,38.48378,-77.96908,0.1610305958132045
202,WA,PORT ORCHARD,24,7,2,0,33,0.09017132551848511,79.9846981993059,15979,47.53281,-122.62432,0.20652105888979289
