,r_state,r_city,Cheap,Average,Expensive,Exclusive,All_rest,% of total,cummulative %,Population,Latitude,Longitude,rest vs pop %
0,WA,SEATTLE,1012,552,113,13,1690,4.617864852310299,4.617864852310299,753655,47.66389,-122.31339,0.22424053446205494
1,DC,WASHINGTON DC,846,468,117,15,1446,3.9511435363554392,8.569008388665738,670050,38.89992,-76.99564,0.21580479068726213
2,TX,SAN ANTONIO,801,377,25,3,1206,3.2953520780391834,11.864360466704921,1451853,29.441,-98.48547,0.08306626084045698
3,TX,FORT WORTH,633,323,13,3,972,2.6559554061808344,14.520315872885757,935508,32.7266216,-97.4779134,0.10390076835259558
4,OR,PORTLAND,598,253,51,6,908,2.481077683963166,17.001393556848925,641162,45.57306,-122.55816,0.1416178750456203
5,VA,RICHMOND,524,205,25,1,755,2.0630106292865538,19.064404186135476,226604,37.5179633,-77.3785795,0.3331803498614323
6,TX,AUSTIN,415,243,20,1,679,1.8553433341530725,20.91974752028855,964177,32.46295,-96.84189,0.07042275432830279
7,WI,MILWAUKEE,383,203,16,0,602,1.6449435746099406,22.56469109489849,569330,42.9479688,-87.9487945,0.10573832399487115
8,VA,ARLINGTON,349,142,29,4,524,1.4318113506571577,23.996502445555645,236434,38.84918,-77.08414,0.22162633123831596
9,VA,ALEXANDRIA,347,152,13,0,512,1.399021777741345,25.39552422329699,154706,38.7401517,-77.1655576,0.3309503186689592
10,UT,SALT LAKE CITY,337,150,21,2,510,1.393556848922043,26.789081072219034,200478,40.7630671,-111.8771375,0.254392003112561
11,WA,VANCOUVER,326,63,13,1,403,1.1011831570893789,27.890264229308414,192169,45.61744,-122.52608,0.2097112437489918
12,WA,TACOMA,245,120,15,1,381,1.0410689400770554,28.931333169385468,219205,47.2701747,-122.48931,0.17380990397116855
13,VA,FAIRFAX,257,94,9,0,360,0.9836871874743832,29.915020356859852,24276,38.853372,-77.330777,1.4829461196243203
14,WA,BELLEVUE,223,105,24,2,354,0.9672924010164767,30.882312757876328,149440,47.62831,-122.14942,0.2368843683083512
15,WA,SPOKANE,238,92,19,1,350,0.9563625433778725,31.8386753012542,229071,47.6671464,-117.396296,0.15279105604812482
16,WI,MADISON,213,111,11,1,336,0.9181080416427576,32.75678334289696,269196,43.0741678,-89.3913144,0.12481611911023938
17,TX,PLANO,197,90,16,0,303,0.8279367161242726,33.58472005902123,288253,33.05857,-96.73167,0.10511599185437794
18,VA,VIRGINIA BEACH,231,66,5,1,303,0.8279367161242726,34.4126567751455,457672,36.84455,-76.14486,0.06620461815448618
19,WA,EVERETT,178,85,19,0,282,0.7705549635216001,35.1832117386671,110812,47.949888,-122.212621,0.25448507381872
20,TX,DALLAS,199,62,8,2,271,0.7404978550154384,35.92370959368254,1288457,32.93983,-96.74906,0.02103290990696624
21,TX,LUBBOCK,168,82,0,0,250,0.6831161024127661,36.60682569609531,260993,33.5442404,-101.923489,0.09578800964010528
22,TX,GARLAND,154,80,8,1,243,0.6639888515452086,37.27081454764051,242035,32.9082,-96.69596,0.10039870266696967
23,TX,RICHARDSON,155,69,15,0,239,0.6530589939066044,37.92387354154712,116382,32.9325447,-96.683279,0.20535821690639447
24,WA,KENT,155,65,15,1,236,0.6448616006776512,38.56873514222477,134835,47.38011,-122.23333,0.17502873882893907
